No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Data Fetching,Fetch data in Server Components,Async Server Components can fetch data directly,Use async/await in server components with direct DB or API calls,Fetch in useEffect on client side for initial data,"async function Page() { const posts = await db.post.findMany(); return <PostList posts={posts} /> }","'use client'; useEffect(() => { fetch('/api/posts').then(r => r.json()).then(setPosts) }, [])",High,https://nextjs.org/docs/app/building-your-application/data-fetching
12,Data Fetching,Use Server Actions for mutations,Server Actions handle form submissions and mutations securely,Define actions with 'use server' for forms and mutations,Build separate API routes for every form submission,"async function createPost(formData: FormData) { 'use server'; await db.post.create({...}) }","// api/posts/route.ts POST handler + client fetch",Medium,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations
13,Data Fetching,Colocate data fetching with usage,Fetch where the data is consumed not at page level,Let each component fetch its own data in parallel,Waterfall fetches by passing data through many layers,"async function UserAvatar() { const user = await getUser(); return <Avatar src={user.image} /> }","Page fetches user then passes to Layout then to Avatar",Medium,
14,Streaming,Use loading.tsx for instant loading states,loading.tsx creates automatic Suspense boundaries,Add loading.tsx for skeleton UIs per route segment,Show blank page while data loads,app/dashboard/loading.tsx with skeleton component,No loading state - blank screen for 2 seconds,High,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming
15,Streaming,Use Suspense for granular streaming,Wrap slow components in Suspense for progressive rendering,Suspense around individual data-heavy components,Wait for all data before rendering anything,"<Suspense fallback={<ChartSkeleton />}><RevenueChart /></Suspense>","await Promise.all([getChart(), getTable(), getStats()]) then render all",High,
16,Images,Use next/image for all images,Automatic optimization lazy loading and responsive sizing,next/image with width height and alt,Raw img tags or unoptimized images,"<Image src='/hero.jpg' width={1200} height={600} alt='Hero' priority />","<img src='/hero.jpg' />",High,https://nextjs.org/docs/app/building-your-application/optimizing/images
17,Images,Set priority on LCP images,Above-fold hero images should skip lazy loading,Add priority prop to hero and banner images,Lazy load above-fold images,"<Image src={hero} priority alt='...' />","<Image src={hero} alt='...' /> // lazy by default",High,
18,Fonts,Use next/font for zero-layout-shift,Self-hosted fonts with automatic font-display swap,next/font/google or next/font/local in layout,External font CDN links or @font-face in CSS,"import { Inter } from 'next/font/google'; const inter = Inter({ subsets: ['latin'] })","<link href='https://fonts.googleapis.com/...' />",High,https://nextjs.org/docs/app/building-your-application/optimizing/fonts
19,Fonts,Apply font to body via className,Use the font's className on html or body element,Apply font variable to root layout,Apply font to individual components,"<html className={inter.className}>","<p className={inter.className}> on every paragraph",Medium,
20,Metadata,Use metadata API for SEO,Export metadata object or generateMetadata function,Metadata export in page.tsx and layout.tsx,Manual head tags or next/head,export const metadata = { title: 'Dashboard' description: '...' },<head><title>Dashboard</title></head>,High,https://nextjs.org/docs/app/building-your-application/optimizing/metadata
21,Metadata,Use dynamic metadata for pages,generateMetadata for pages with dynamic content,Async generateMetadata with params,Static metadata on dynamic pages,"export async function generateMetadata({ params }) { const post = await getPost(params.id); return { title: post.title } }","export const metadata = { title: 'Post' } // same for all posts",Medium,
22,Metadata,Add Open Graph images,OG images for social sharing previews,opengraph-image.tsx for dynamic OG images,Skip OG images or use static screenshots,"// app/blog/[slug]/opengraph-image.tsx with ImageResponse","No OG image configuration",Medium,https://nextjs.org/docs/app/api-reference/file-conventions/metadata/opengraph-image
23,Caching,Understand the caching layers,Next.js has Request Memoization Data Cache Full Route Cache and Router Cache,Learn which cache applies where and how to opt out,Assume everything is always fresh or always cached,fetch(url { next: { revalidate: 3600 } }),fetch(url) without understanding cache behavior,High,https://nextjs.org/docs/app/building-your-application/caching
24,Caching,Use revalidation strategies,ISR with time-based or on-demand revalidation,revalidatePath or revalidateTag after mutations,Manual cache busting with timestamps or random params,"revalidatePath('/blog'); // after creating post","fetch('/api/posts?t=' + Date.now())",High,
25,Performance,Use dynamic imports for heavy components,Code-split large client components with next/dynamic,Lazy load modals charts editors and heavy libraries,Import everything at the top level,"const Chart = dynamic(() => import('./Chart'), { ssr: false })","import Chart from './HeavyChartLibrary' // always loaded",Medium,https://nextjs.org/docs/app/building-your-application/optimizing/lazy-loading
26,Performance,Avoid client-side data waterfalls,Parallel data fetching prevents sequential loading,Fetch data in parallel or colocate with Server Components,Sequential client-side fetches in useEffect chains,"const [user, posts] = await Promise.all([getUser(), getPosts()])","useEffect user then useEffect posts (depends on user)",High,
27,Performance,Use React cache for request dedup,Deduplicate identical data fetches within a render,Wrap fetch functions with React.cache,Fetch same data in multiple components redundantly,"const getUser = cache(async (id) => db.user.findUnique({ where: { id } }))","Each component calls db.user.findUnique independently",Medium,
28,Error Handling,Use error.tsx for error boundaries,error.tsx creates automatic error boundaries per route segment,Add error.tsx with recovery UI and retry button,Let errors crash the entire page or show default error,"'use client'; export default function Error({ error, reset }) { return <Button onClick={reset}>Retry</Button> }","No error boundary - white screen on failure",High,https://nextjs.org/docs/app/building-your-application/routing/error-handling
29,Error Handling,Use not-found.tsx for 404s,Custom 404 pages per route segment,Add not-found.tsx with helpful navigation back,Show generic error for missing resources,"export default function NotFound() { return <div>Post not found. <Link href='/blog'>Browse all</Link></div> }","throw new Error('Not found') // shows error.tsx instead",Medium,
30,Error Handling,Use global-error.tsx for root errors,Catches errors in root layout including layout-level failures,Add app/global-error.tsx as last resort error boundary,Rely only on segment-level error.tsx,"// app/global-error.tsx 'use client'; export default function GlobalError({ reset }) { return <html><body>...</body></html> }","No global error handler",Low,
31,Styling,Use CSS Modules or Tailwind,Both are well-supported and tree-shakeable,CSS Modules for scoped styles or Tailwind for utility-first,Runtime CSS-in-JS libraries in Server Components,"import styles from './page.module.css'; <div className={styles.hero}>","import styled from 'styled-components' // breaks in RSC",High,
32,Styling,Use cn() utility for conditional classes,Merge Tailwind classes cleanly with clsx + tailwind-merge,cn() helper for component variants,String concatenation for conditional classes,"cn('px-4 py-2', variant === 'primary' && 'bg-blue-500')","className={'px-4 py-2 ' + (variant === 'primary' ? 'bg-blue-500' : '')}",Medium,
33,Middleware,Use middleware for auth and redirects,Middleware runs before every matched request,Auth checks redirects geo-routing in middleware.ts,Heavy computation or database queries in middleware,"// middleware.ts - check auth token and redirect if missing","Database query in middleware for every request",Medium,https://nextjs.org/docs/app/building-your-application/routing/middleware
34,TypeScript,Type params and searchParams,Route params and search params need proper typing,Define typed params for dynamic routes,Use any or untyped params,"type Props = { params: Promise<{ slug: string }>; searchParams: Promise<{ q?: string }> }","export default function Page({ params }: any)",Medium,
35,TypeScript,Use satisfies for metadata,Type-check metadata without losing inference,satisfies Metadata for type safety,Untyped metadata objects,"export const metadata = { title: 'Home' } satisfies Metadata","export const metadata = { titel: 'Home' } // typo not caught",Low,
36,API Routes,Use Route Handlers for APIs,app/api/*/route.ts for REST endpoints,Export named HTTP method handlers (GET POST PUT DELETE),Default exports or catch-all handlers,"export async function GET(request: Request) { return Response.json({ data }) }","export default function handler(req, res) { } // Pages Router style",Medium,https://nextjs.org/docs/app/building-your-application/routing/route-handlers
37,API Routes,Prefer Server Actions over API routes,Server Actions are simpler for mutations from your own UI,Server Actions for form submissions and data mutations,API routes for every client-server interaction,"<form action={createItem}>...</form>","fetch('/api/items', { method: 'POST', body }) // unnecessary indirection",Medium,
38,Security,Validate Server Action inputs,Server Actions are public HTTP endpoints,Use zod or similar to validate all inputs,Trust client data without validation,"const parsed = schema.safeParse(formData); if (!parsed.success) return { error: 'Invalid' }","const title = formData.get('title'); await db.create({ title }) // no validation",High,
39,Security,Use environment variables correctly,Server-only secrets vs public env vars,NEXT_PUBLIC_ prefix only for truly public values,Expose API keys or secrets with NEXT_PUBLIC_,"process.env.DATABASE_URL // server only","process.env.NEXT_PUBLIC_DATABASE_URL // exposed to client!",High,
40,Patterns,Use the children pattern for composition,Pass children for flexible component composition,Slot content via children and named slots,Prop drilling for every piece of content,"<Card><CardHeader>Title</CardHeader><CardContent>...</CardContent></Card>","<Card title='Title' subtitle='Sub' content={...} footer={...} />",Medium,
41,Patterns,Implement optimistic updates,Show changes immediately before server confirmation,useOptimistic for instant UI feedback on mutations,Wait for server response before updating UI,"const [optimistic, addOptimistic] = useOptimistic(items); addOptimistic(newItem)","await createItem(); router.refresh() // user waits for round trip",Medium,
42,Patterns,Use generateStaticParams for SSG,Pre-render dynamic routes at build time,Generate params for known dynamic pages,Dynamic rendering for static content,"export async function generateStaticParams() { return posts.map(p => ({ slug: p.slug })) }","Every blog post rendered on demand",Medium,https://nextjs.org/docs/app/api-reference/functions/generate-static-params
43,Performance,Analyze bundle with @next/bundle-analyzer,Identify large dependencies in client bundles,Run analyzer periodically to catch bundle bloat,Ship unaware of client bundle size,"const withBundleAnalyzer = require('@next/bundle-analyzer')({ enabled: process.env.ANALYZE === 'true' })","Never checking bundle size",Low,
44,Performance,Use Partial Prerendering (PPR),Combine static shell with dynamic streaming holes,Enable PPR for pages with both static and dynamic parts,Full dynamic rendering for mostly-static pages,"export const experimental_ppr = true; // static shell + Suspense for dynamic","Entire page is dynamic because one component needs fresh data",Medium,https://nextjs.org/docs/app/building-your-application/rendering/partial-prerendering
45,Accessibility,Ensure semantic HTML in components,Server Components render real HTML for screen readers,Use proper heading hierarchy landmarks and ARIA,Div soup with click handlers instead of buttons,"<nav><ul><li><Link href='/'>Home</Link></li></ul></nav>","<div onClick={navigate}><div>Home</div></div>",High,
