No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Navigation,Use NavigationStack over NavigationView,NavigationStack is the modern replacement with programmatic navigation,NavigationStack with NavigationLink and navigationDestination,NavigationView which is deprecated,"NavigationStack { List { NavigationLink('Settings', value: Route.settings) }.navigationDestination(for: Route.self) { ... } }","NavigationView { NavigationLink(destination: SettingsView()) { Text('Settings') } }",High,https://developer.apple.com/documentation/swiftui/navigationstack
12,Navigation,Use navigation path for programmatic nav,NavigationPath enables push/pop from code,@State private var path = NavigationPath() for navigation state,Manual isActive bindings on NavigationLinks,"@State private var path = NavigationPath(); NavigationStack(path: $path) { ... }","@State var showSettings = false; NavigationLink(isActive: $showSettings) // fragile",High,
13,Navigation,Use TabView for tab-based apps,TabView with tabItem for primary app navigation,Tab enum with tabItem labels and images,Custom tab bars unless you need non-standard behavior,"TabView { HomeView().tabItem { Label('Home', systemImage: 'house') } }","Custom HStack at bottom acting as tab bar // loses system features",Medium,
14,Navigation,Use sheet and fullScreenCover for modals,Present views modally with system animations,.sheet for partial modals .fullScreenCover for full screen,Custom overlay views for modal presentation,".sheet(isPresented: $showProfile) { ProfileView() }","ZStack { if showProfile { ProfileView().transition(.move(edge: .bottom)) } }",Medium,
15,State,Use @State for local view state,@State for simple value types owned by a single view,@State for toggles selections and form inputs,@State for shared or complex data,"@State private var searchText = ''","@State private var viewModel = ViewModel() // use @StateObject",High,https://developer.apple.com/documentation/swiftui/state
16,State,Use @Binding for child-to-parent communication,@Binding creates two-way connection to parent state,@Binding for child views that modify parent state,Passing closures for simple state updates,"struct Toggle: View { @Binding var isOn: Bool }","struct Toggle: View { var isOn: Bool; var onToggle: (Bool) -> Void }",Medium,
17,State,Use @Observable for view models,@Observable macro replaces ObservableObject in iOS 17+,@Observable class for view models and data stores,ObservableObject with @Published for new projects,"@Observable class UserStore { var users: [User] = [] }","class UserStore: ObservableObject { @Published var users: [User] = [] } // old pattern",High,https://developer.apple.com/documentation/observation/observable()
18,State,Use @Environment for dependency injection,Environment values for shared dependencies and settings,@Environment for color scheme locale and custom dependencies,Singletons or global state,"@Environment(\\.colorScheme) var colorScheme","let colorScheme = UITraitCollection.current.userInterfaceStyle // UIKit bridge",Medium,
19,State,Minimize state scope,Keep state as local as possible,Lift state only when multiple views need it,Global state for view-specific data,"// State lives in the view that owns it @State private var isExpanded = false","// Global store for a single view's toggle AppState.shared.isCardExpanded",Medium,
20,Styling,Use semantic colors,System colors adapt to dark mode and accessibility,Color.primary Color.secondary Color.accentColor,.red .blue fixed colors that don't adapt,"Text(title).foregroundStyle(.primary)","Text(title).foregroundColor(.black) // breaks in dark mode",High,https://developer.apple.com/documentation/swiftui/color
21,Styling,Use SF Symbols for icons,2500+ built-in icons that match system typography,Image(systemName:) with symbol rendering modes,Custom icon assets for standard UI actions,"Image(systemName: 'heart.fill').symbolRenderingMode(.hierarchical)","Image('custom-heart') // doesn't match system style",Medium,https://developer.apple.com/design/human-interface-guidelines/sf-symbols
22,Styling,Use Material for blur backgrounds,SwiftUI materials create frosted glass effects,.ultraThinMaterial .regularMaterial .thickMaterial,Custom blur effects or fixed semi-transparent colors,".background(.ultraThinMaterial, in: RoundedRectangle(cornerRadius: 12))","backgroundColor: UIColor.systemBackground.withAlphaComponent(0.8) // UIKit bridge",Medium,
23,Styling,Use ShapeStyle for advanced fills,Gradients shadows and materials as shape styles,LinearGradient AngularGradient and custom ShapeStyles,Hardcoded colors for decorative backgrounds,".fill(.linearGradient(colors: [.blue, .purple], startPoint: .topLeading, endPoint: .bottomTrailing))",".fill(Color.blue) // flat when gradient would be better",Low,
24,Styling,Use font design for personality,.font(.system(.title design: .rounded)) for visual character,Font designs: .default .rounded .serif .monospaced,Custom fonts when system fonts would work,".font(.system(.title, design: .rounded, weight: .bold))","Font.custom('Avenir', size: 24) // when system rounded is enough",Low,
25,Animation,Use withAnimation for state changes,Wrap state mutations in withAnimation for implicit animation,withAnimation(.spring()) for natural bouncy transitions,Animate everything or nothing,"withAnimation(.spring(response: 0.3, dampingFraction: 0.7)) { isExpanded.toggle() }","isExpanded.toggle() // instant state change no animation",Medium,https://developer.apple.com/documentation/swiftui/withanimation(_:_:)
26,Animation,Use matchedGeometryEffect for transitions,Shared element transitions between views,matchedGeometryEffect for hero transitions between views,Manual frame calculation for element transitions,"@Namespace var animation; Image(photo).matchedGeometryEffect(id: photo.id, in: animation)","Custom position animation trying to match elements across views",Medium,
27,Animation,Use sensoryFeedback for haptics,Haptic feedback for interactions in iOS 17+,.sensoryFeedback for impact selection and notification,UIImpactFeedbackGenerator from UIKit,".sensoryFeedback(.impact(weight: .medium), trigger: tapped)","let generator = UIImpactFeedbackGenerator(style: .medium); generator.impactOccurred()",Low,
28,Animation,Use phaseAnimator for multi-step animation,PhaseAnimator creates sequenced animation phases,PhaseAnimator for loading indicators and attention effects,Multiple chained DispatchQueue.main.asyncAfter,"PhaseAnimator([false, true]) { phase in Circle().scaleEffect(phase ? 1.2 : 1.0) }","@State var scale = 1.0; onAppear { DispatchQueue.main.asyncAfter { scale = 1.2 } }",Medium,
29,Animation,Use spring animations as default,Springs feel more natural than linear or easeInOut,.spring() with custom response and dampingFraction,Linear animations for UI elements,".animation(.spring(response: 0.35, dampingFraction: 0.7), value: isExpanded)",".animation(.linear(duration: 0.3), value: isExpanded) // robotic feel",Medium,
30,Lists,Use List for platform-native scrolling lists,List provides system styling pull-to-refresh and swipe actions,List with ForEach for dynamic data,ScrollView + LazyVStack when you want system list features,"List { ForEach(items) { item in ItemRow(item: item).swipeActions { Button(role: .destructive) { delete(item) } { Text('Delete') } } } }","ScrollView { LazyVStack { ForEach(items) { ... } } } // no swipe actions or separators",Medium,
31,Lists,Use sections for grouped lists,Section with header and footer for organized lists,Section for categorized data with clear headers,Flat lists with manual separator views,"List { Section('Recent') { ForEach(recent) { ... } } Section('All') { ForEach(all) { ... } } }","List { Text('Recent').font(.headline); ForEach(recent) { ... }; Text('All').font(.headline) }",Medium,
32,Lists,Use searchable for filtering,searchable modifier adds native search bar,searchable(text:) for filterable lists,Custom TextField at top of list for search,".searchable(text: $searchText, prompt: 'Search items')","VStack { TextField('Search', text: $query); List { ... } } // not native",Medium,https://developer.apple.com/documentation/swiftui/view/searchable(text:placement:prompt:)-1bwf9
33,Forms,Use Form for settings and input screens,Form provides system-grouped styling for settings,Form with sections for settings screens,VStack with manual styling for form layouts,"Form { Section('Profile') { TextField('Name', text: $name); Toggle('Notifications', isOn: $notifs) } }","VStack { Text('Name'); TextField('', text: $name).textFieldStyle(.roundedBorder) }",Medium,
34,Forms,Use proper keyboard types,Set keyboard type for input context,keyboardType textContentType for smart input,Generic keyboard for all inputs,".keyboardType(.emailAddress).textContentType(.emailAddress).autocapitalization(.none)","TextField('Email', text: $email) // default keyboard, no autofill",Medium,
35,Accessibility,Use accessibilityLabel for custom views,Every interactive element needs an accessible description,Label or accessibilityLabel on all buttons and controls,Icon-only buttons without labels,"Button { Image(systemName: 'trash') }.accessibilityLabel('Delete item')","Button { Image(systemName: 'trash') } // VoiceOver says 'trash'",High,https://developer.apple.com/documentation/swiftui/view/accessibilitylabel(_:)-1d7jv
36,Accessibility,Support Dynamic Type,Text should scale with user's preferred text size,Use system font styles that respect Dynamic Type,.font(.system(size: 16)) which doesn't scale,".font(.body) // scales with Dynamic Type",".font(.system(size: 16)) // fixed size ignores user preference",High,
37,Accessibility,Use accessibilityElement for grouping,Group related elements into single accessible unit,Combine related label + value into one VoiceOver element,Every text being a separate VoiceOver stop,".accessibilityElement(children: .combine) // groups children","// VoiceOver reads: 'Name' then 'Alice' as separate elements",Medium,
38,Performance,Use task over onAppear for async,task modifier handles async lifecycle correctly,.task for data loading and async work on appear,.onAppear with Task { } for async work,".task { await viewModel.loadData() }",".onAppear { Task { await viewModel.loadData() } } // manual Task creation",Medium,
39,Performance,Avoid unnecessary redraws,SwiftUI redraws views when observed state changes,Use Equatable let properties to prevent redraws,@State or @Observable for data that doesn't change,"struct ItemRow: View { let item: Item // value type, only redraws if item changes }","struct ItemRow: View { @State var item: Item // unnecessary reactivity }",High,
40,Performance,Use @Previewable for preview state,@Previewable creates state bindings in previews,@Previewable @State for interactive previews,Static previews or manual preview wrappers,"#Preview { @Previewable @State var isOn = false; Toggle('Notify', isOn: $isOn) }","struct Preview: View { @State var isOn = false; var body: some View { Toggle('Notify', isOn: $isOn) } }",Low,
