No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
23,Theming,Use TextTheme for consistent typography,Material 3 TextTheme provides harmonious type scale,Theme.of(context).textTheme.headlineMedium bodyLarge etc,TextStyle with manual sizes everywhere,"Text(title, style: Theme.of(context).textTheme.headlineMedium)","Text(title, style: TextStyle(fontSize: 24, fontWeight: FontWeight.bold)) // manual",High,
24,Theming,Support dark mode from start,Design both themes simultaneously,ThemeData for both light and dark modes,Only light theme,"MaterialApp(theme: AppTheme.light, darkTheme: AppTheme.dark, themeMode: ThemeMode.system)","MaterialApp(theme: AppTheme.light) // no dark mode",High,
25,Animation,Use AnimatedContainer for implicit animation,AnimatedContainer smoothly transitions between property values,AnimatedContainer for size color padding changes,Manual AnimationController for simple transitions,"AnimatedContainer(duration: Duration(milliseconds: 300), width: isExpanded ? 200 : 100, curve: Curves.easeInOut)","TweenAnimationBuilder or AnimationController for a simple width change",Medium,https://api.flutter.dev/flutter/widgets/AnimatedContainer-class.html
26,Animation,Use Hero for shared element transitions,Hero widget creates smooth transition between routes,Hero with matching tags on source and destination,Manual position animation between screens,"Hero(tag: 'avatar-${user.id}', child: CircleAvatar(backgroundImage: NetworkImage(user.avatar)))","Custom AnimationController calculating position between two screens",Medium,
27,Animation,Use staggered animations for lists,Animate list items appearing in sequence,AnimationController with Interval for staggered entrance,All items appearing simultaneously,"ListView.builder(itemBuilder: (_, i) => SlideTransition(position: Tween(...).animate(CurvedAnimation(parent: controller, curve: Interval(i * 0.1, 1))), child: item))","ListView.builder(itemBuilder: (_, i) => item) // no entrance animation",Medium,
28,Animation,Use Curves for natural motion,Curves create physically realistic motion profiles,Curves.easeOutCubic for deceleration Curves.spring for bounce,Curves.linear for everything,"curve: Curves.easeOutCubic // natural deceleration","curve: Curves.linear // robotic feel",Medium,
29,Lists,Use ListView.builder for long lists,Builder creates widgets lazily as they scroll into view,ListView.builder for lists longer than 15-20 items,ListView with children list for dynamic data,"ListView.builder(itemCount: items.length, itemBuilder: (_, i) => ItemTile(items[i]))","ListView(children: items.map((i) => ItemTile(i)).toList()) // all built at once",High,https://api.flutter.dev/flutter/widgets/ListView-class.html
30,Lists,Use ListView.separated for dividers,Separated builder adds dividers between items automatically,ListView.separated with separatorBuilder for clean lists,Manual dividers inside itemBuilder,"ListView.separated(separatorBuilder: (_, __) => Divider(), itemBuilder: (_, i) => ItemTile(items[i]))","ListView.builder(itemBuilder: (_, i) => Column(children: [ItemTile(items[i]), Divider()]))  // divider after last item too",Medium,
31,Lists,Cache list items with AutomaticKeepAliveClientMixin,Keep expensive list items alive when scrolled off screen,AutomaticKeepAliveClientMixin for items with heavy state,Rebuilding complex items every time they scroll back,"class _ItemState extends State<Item> with AutomaticKeepAliveClientMixin { @override bool get wantKeepAlive => true; }","Rebuilding video players or complex forms on every scroll",Medium,
32,Forms,Use TextFormField with Form widget,Form widget manages validation state across fields,Form with GlobalKey for validation and submission,TextField without validation,"Form(key: _formKey, child: Column(children: [TextFormField(validator: (v) => v!.isEmpty ? 'Required' : null)]))","TextField(controller: _ctrl) // no validation",Medium,
33,Forms,Use InputDecoration consistently,Consistent input styling across the app,Theme-level InputDecorationTheme for global styling,Manual InputDecoration on every field,"ThemeData(inputDecorationTheme: InputDecorationTheme(border: OutlineInputBorder(), filled: true))","TextFormField(decoration: InputDecoration(border: OutlineInputBorder(), filled: true)) // repeated",Medium,
34,Accessibility,Use Semantics widget for custom controls,Semantics provides accessibility info for custom widgets,Semantics label for custom-drawn or gesture-based controls,Custom controls without accessibility labels,"Semantics(label: 'Play video', button: true, child: CustomPlayButton())","GestureDetector(onTap: play, child: CustomPlayButton()) // invisible to screen readers",High,https://api.flutter.dev/flutter/widgets/Semantics-class.html
35,Accessibility,Support large text and scaling,Respect user font size preferences,MediaQuery.textScaleFactor and flexible text containers,Fixed-height containers that clip scaled text,"Text(title, maxLines: 2, overflow: TextOverflow.ellipsis) // gracefully handles large text","SizedBox(height: 20, child: Text(title)) // clips when text is scaled up",High,
36,Accessibility,Use ExcludeSemantics for decorative elements,Hide decorative images from screen readers,ExcludeSemantics for decorative borders dividers and backgrounds,Decorative elements announced by screen readers,"ExcludeSemantics(child: Image.asset('decorative-bg.png'))","Image.asset('decorative-bg.png') // screen reader announces 'image'",Medium,
37,Performance,Use RepaintBoundary for expensive widgets,Isolate expensive painting operations from parent rebuilds,RepaintBoundary around charts maps and complex custom paint,Entire screen repainting when one widget changes,"RepaintBoundary(child: CustomPaint(painter: ChartPainter(data)))","CustomPaint(painter: ChartPainter(data)) // repaints with every parent build",Medium,
38,Performance,Use const wherever possible,Const constructors prevent widget rebuilds,const for all static widgets text and decorations,Rebuilding static widgets on every frame,"const SizedBox(height: 16); const Text('Welcome');","SizedBox(height: 16); Text('Welcome'); // rebuilt unnecessarily",High,
39,Performance,Cache network images,Avoid re-downloading images on every build,cached_network_image package for image caching,Image.network which re-downloads on rebuild,"CachedNetworkImage(imageUrl: url, placeholder: (_, __) => CircularProgressIndicator())","Image.network(url) // re-downloads frequently, no placeholder",Medium,https://pub.dev/packages/cached_network_image
40,Performance,Profile with DevTools,Use Flutter DevTools to find performance issues,Performance overlay widget inspector and timeline,Guessing at performance problems,"flutter run --profile // then open DevTools","print('build called') // println debugging for performance",Low,https://docs.flutter.dev/tools/devtools
