No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
24,Navigation,Use Command for command palettes,Command component for searchable command menus (cmdk),CommandDialog with CommandInput CommandList CommandGroup,Custom search modal with manual filtering,"<CommandDialog><CommandInput placeholder='Search...' /><CommandList><CommandGroup heading='Actions'><CommandItem>New file</CommandItem></CommandGroup></CommandList></CommandDialog>","<Dialog><input onChange={e => setFilter(e.target.value)} />{filtered.map(...)}</Dialog>",Medium,https://ui.shadcn.com/docs/components/command
25,Navigation,Use Tabs for content switching,Tabs for organizing related content in same view,Tabs with TabsList TabsTrigger TabsContent,Custom button group with conditional rendering,"<Tabs defaultValue='overview'><TabsList><TabsTrigger value='overview'>Overview</TabsTrigger><TabsTrigger value='analytics'>Analytics</TabsTrigger></TabsList><TabsContent value='overview'>...</TabsContent></Tabs>","<div>{tab === 'overview' ? <Overview /> : <Analytics />}</div> // no a11y",Medium,
26,Composition,Use Sheet for mobile navigation,Sheet slides in from edges - perfect for mobile nav,Sheet with SheetTrigger and SheetContent,Dialog or fixed divs for mobile menus,"<Sheet><SheetTrigger asChild><Button variant='ghost' size='icon'><Menu /></Button></SheetTrigger><SheetContent side='left'>...</SheetContent></Sheet>","<div className={`fixed inset-0 ${open ? 'block' : 'hidden'}`}>",Medium,https://ui.shadcn.com/docs/components/sheet
27,Composition,Use Popover for contextual content,Popover for forms filters or info near trigger element,Popover with PopoverTrigger and PopoverContent,Tooltip for interactive content or Dialog for small forms,"<Popover><PopoverTrigger>Settings</PopoverTrigger><PopoverContent className='w-80'><form>...</form></PopoverContent></Popover>","<Tooltip><form>...</form></Tooltip> // tooltip shouldn't have interactive content",Medium,
28,Composition,Use Separator for visual breaks,Separator creates accessible horizontal or vertical dividers,Separator between content sections,Manual hr or border-top divs,"<Separator className='my-4' />","<hr className='my-4' /> or <div className='border-t my-4' />",Low,
29,Patterns,Build consistent page headers,Combine typography components for page titles,Use heading hierarchy with description text,Inconsistent heading styles across pages,"<div className='space-y-2'><h1 className='text-3xl font-bold tracking-tight'>Dashboard</h1><p className='text-muted-foreground'>Overview of your project</p></div>","Random heading sizes and no description pattern",Medium,
30,Patterns,Use aspect-ratio for media,Maintain consistent media proportions,AspectRatio component for images and videos,Fixed width/height that breaks on resize,"<AspectRatio ratio={16 / 9}><Image src={img} fill alt='...' className='object-cover rounded-md' /></AspectRatio>","<img src={img} width={640} height={360} /> // breaks on mobile",Low,
31,Patterns,Use ScrollArea for overflow content,ScrollArea provides styled scrollbars across browsers,ScrollArea for lists panels and sidebars,Browser default scrollbars or overflow-auto,"<ScrollArea className='h-72'><div className='p-4'>Long content...</div></ScrollArea>","<div className='overflow-auto h-72'>Long content...</div>",Low,https://ui.shadcn.com/docs/components/scroll-area
32,Accessibility,Use asChild for custom triggers,asChild passes accessibility props to your custom element,Wrap custom elements with asChild on trigger components,Nest buttons inside buttons or lose accessibility,"<DialogTrigger asChild><Button variant='outline'>Open</Button></DialogTrigger>","<DialogTrigger><Button>Open</Button></DialogTrigger> // button inside button",High,
33,Accessibility,Use Label with form controls,Label component provides accessible form labeling,Label with htmlFor matching input id,Placeholder-only inputs without labels,"<Label htmlFor='email'>Email</Label><Input id='email' />","<Input placeholder='Email' /> // no label for screen readers",High,
34,Accessibility,Use VisuallyHidden for screen reader text,Hide text visually but keep it for assistive technology,sr-only class for icon-only buttons,Icon buttons without any text,"<Button size='icon'><X /><span className='sr-only'>Close</span></Button>","<Button size='icon'><X /></Button> // screen reader sees nothing",High,
35,Animation,Use Collapsible for expand/collapse,Animated expand/collapse with accessibility,Collapsible with CollapsibleTrigger and CollapsibleContent,Manual height animation with state,"<Collapsible><CollapsibleTrigger>Show more</CollapsibleTrigger><CollapsibleContent>Details...</CollapsibleContent></Collapsible>","<div style={{ height: open ? 'auto' : 0, overflow: 'hidden' }}>",Medium,
36,Animation,Use data attributes for animations,shadcn components expose data-state for CSS animations,Animate based on data-[state=open] data-[state=closed],JavaScript-driven show/hide animations,"[data-state=open] { animation: slideDown 200ms ease-out }","useEffect(() => { if (open) element.style.height = '...' })  // imperative",Medium,
37,Dark Mode,Test all components in dark mode,Every component should look correct in both themes,Verify contrast and readability in dark mode,Only test in light mode then ship,"Use text-foreground bg-background consistently in custom components","Custom components with bg-white text-black // broken in dark mode",High,
38,Dark Mode,Use foreground tokens for text on colored backgrounds,Every color has a matching foreground token for accessible contrast,text-primary-foreground on bg-primary,White text on colored backgrounds assuming contrast,"<div className='bg-primary text-primary-foreground'>","<div className='bg-primary text-white'> // may not have contrast in all themes",Medium,
39,Patterns,Use Drawer for mobile bottom sheets,Drawer (vaul) for mobile-friendly bottom sheets,Drawer on mobile Dialog on desktop with responsive switching,Dialog for everything including mobile,"<Drawer><DrawerTrigger>Open</DrawerTrigger><DrawerContent><DrawerHeader><DrawerTitle>Options</DrawerTitle></DrawerHeader>...</DrawerContent></Drawer>","<Dialog> on mobile // hard to reach dismiss button",Medium,https://ui.shadcn.com/docs/components/drawer
40,Patterns,Use Resizable for panel layouts,ResizablePanelGroup for adjustable split views,Resizable panels for IDE-like or dashboard layouts,Custom drag-to-resize implementations,"<ResizablePanelGroup direction='horizontal'><ResizablePanel>Sidebar</ResizablePanel><ResizableHandle /><ResizablePanel>Content</ResizablePanel></ResizablePanelGroup>","Custom mousedown/mousemove resize handler",Low,https://ui.shadcn.com/docs/components/resizable
